,Have Benefits,Seeks Treatment,Care Options,Wellness Programs,Help Resources,Anonymity
1211,Don't know,No,Not sure,No,No,Don't know
1212,No,Yes,Yes,No,Yes,Yes
1213,Don't know,No,No,No,No,Don't know
1214,Yes,Yes,Yes,No,No,Yes
1215,No,No,Not sure,No,No,Don't know
1216,Don't know,No,Not sure,No,Yes,Don't know
1217,No,No,Yes,No,No,No
1218,No,No,Not sure,No,No,Don't know
1219,Yes,Yes,No,Yes,Yes,Yes
1220,Don't know,Yes,No,No,No,Don't know
1221,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
1222,Don't know,Yes,Yes,Don't know,Yes,No
1223,Don't know,No,No,No,No,Don't know
1224,Yes,Yes,Yes,No,Yes,Don't know
1225,No,Yes,Yes,Yes,No,Don't know
1226,Yes,No,Not sure,Yes,Don't know,Don't know
1227,Yes,No,Yes,Don't know,Yes,Yes
1228,Don't know,Yes,Yes,No,No,Don't know
1229,No,No,No,No,No,Yes
1230,No,Yes,Yes,No,Yes,Yes
1231,No,Yes,No,No,No,Don't know
1232,Yes,Yes,Yes,Yes,Yes,Yes
1233,No,Yes,Yes,No,No,Don't know
1234,Don't know,Yes,No,No,Don't know,Don't know
1235,Yes,Yes,Yes,Yes,Don't know,Don't know
1236,Don't know,Yes,No,Yes,Don't know,Don't know
1237,No,No,Yes,No,No,Yes
1238,Yes,Yes,Yes,Yes,Yes,Yes
1239,Don't know,No,No,No,No,Don't know
1240,Don't know,Yes,No,No,No,Yes
1241,No,Yes,No,No,No,Don't know
1242,Don't know,Yes,No,No,Don't know,Don't know
1243,Yes,Yes,Yes,No,Yes,Don't know
1244,No,No,No,No,Don't know,Don't know
1245,Yes,Yes,Yes,Yes,Yes,Yes
1246,Yes,No,Not sure,Don't know,Yes,Don't know
1247,No,Yes,No,No,No,No
1248,Yes,Yes,No,No,Don't know,Don't know
1249,Yes,Yes,Yes,Don't know,No,Yes
1250,Yes,Yes,Not sure,Yes,Yes,Don't know
1251,No,Yes,Yes,No,No,Don't know
1252,Yes,Yes,Yes,Yes,No,Yes
1253,Don't know,No,No,Yes,Yes,Don't know
1254,No,Yes,No,No,No,Don't know
1255,Yes,Yes,Yes,No,No,Yes
1256,Yes,Yes,Yes,No,No,Don't know
1257,No,No,Yes,No,No,Don't know
1258,Yes,Yes,Yes,No,No,Yes
